TakingPill AcX AcY AcZ GyX GyY GyZ
0 6716 -4924 -17304 -1816 -3241 504
0 4296 -5828 -18564 -5674 794 -1562
0 5524 -3420 -15976 -3312 -445 1005
0 6276 -1976 -15120 -2055 -51 350
0 4656 -3396 -17088 -514 106 -1404
0 4748 -4608 -16852 -1199 -988 959
0 4628 -3440 -18304 -3294 -479 1183
0 5736 -1816 -16304 -4414 -1493 1844
0 5088 -1528 -16404 -6327 -1511 1272
0 3944 -256 -19504 -9842 -4431 756
0 4012 56 -16252 -13806 -1095 -86
0 2216 -1240 -16000 -5820 -4786 -93
0 4192 296 -17104 -9162 944 -1131
0 4392 1488 -17484 -354 -1023 -1107
0 3816 460 -16692 -266 1701 -316
0 3132 952 -18320 1503 207 -1401
0 3916 1280 -17372 2060 -387 -1069
0 2560 740 -17752 1070 -1261 284
0 4088 1364 -16884 511 327 -901
0 4036 1284 -16960 1142 -791 -72
0 3100 316 -17412 3476 -407 -2153
0 3532 -140 -16960 5616 -1922 -1654
0 3152 -652 -17308 4947 -1491 -1375
0 2996 -572 -18476 5901 -3385 -1462
1 3240 -1480 -15876 6223 -1908 -1513
1 2272 -3028 -17924 10771 -2659 -4406
1 2592 -3408 -16716 10343 -2178 -1451
1 2472 -6704 -17552 12945 -1936 -3980
1 2392 -6740 -15020 13606 -430 -2985
1 1356 -9480 -15964 15432 -507 -3375
1 3668 -9164 -15904 18349 -2793 -4001
1 1396 -12664 -13060 14671 -639 -483
1 3624 -10096 -13932 13491 -1048 -4758
1 2172 -13128 -9048 12205 -831 -2330
1 1460 -13504 -11268 7458 25 -1321
1 4084 -13880 -7240 9020 -2589 -1293
1 2128 -14504 -8672 5447 274 -1291
1 3268 -14976 -7908 7844 -2370 -665
1 2128 -16036 -5624 5734 276 -228
1 3124 -16308 -4980 6814 420 242
1 3604 -14692 -6768 4491 -614 768
1 4256 -14172 -3552 7157 -3634 187
1 364 -19120 -1676 105 874 224
1 2984 -16720 -3516 5773 -1466 1461
1 2664 -15760 -740 1400 273 1856
1 5096 -14172 -3816 4436 -1927 -1172
1 -2372 -19296 -2140 1867 -1083 -73
1 5472 -12172 -2036 -170 -65 -323
1 -1064 -18420 -3776 780 -349 -358
1 3736 -14372 -1272 -3003 1306 -2341
1 -16 -20700 -2232 2860 -1558 986
1 1676 -14688 -4864 -4296 827 4282
1 10920 -8160 864 -463 -1791 -3777
1 -8848 -27440 -11484 -8566 9096 -1671
1 1132 -14072 -5288 -7572 3580 4149
1 6108 -11144 -4144 -3101 -108 -1000
1 740 -20152 -4488 -1434 988 -2985
1 2364 -13712 -2600 -7084 478 4221
1 5524 -10916 -5984 -6438 2781 -3158
1 732 -19384 -7876 -9039 -13 -1080
1 2760 -13828 -9004 -13052 5600 -1061
1 4884 -13364 -5472 -16880 9059 191
1 1408 -12132 -13528 -19995 2729 -23
1 2224 -12348 -13372 -18404 3924 787
1 2216 -10460 -16436 -27529 2353 2014
1 1816 -8096 -15292 -17462 -2218 6130
1 4368 -6972 -12764 -18220 2312 4205
1 -376 -5792 -18696 -15975 -1838 4104
1 4860 -2024 -17812 -14314 977 2287
1 180 -3488 -17344 -12004 158 2620
1 6208 928 -16944 -5903 -962 1458
1 1020 -836 -18168 -3680 2984 -5226
0 4900 1000 -16440 -940 3128 -3606
0 3152 848 -15476 6833 413 -7725
0 2752 -364 -19244 2944 143 -5136
0 2644 -1412 -18356 -65 -470 -207
0 3696 -224 -18384 -2757 -1356 1949
0 3720 712 -16516 -1382 -3153 1326
0 3896 2120 -14492 -3896 -943 3218
0 4036 1948 -17300 -2857 1362 -677
0 3580 820 -16296 -2764 891 85
0 2372 636 -16552 -1371 1201 -289
0 3984 1512 -17208 -1429 1981 -739
0 2892 848 -18448 -365 67 -77
0 3052 952 -17592 672 -174 -1173
0 2868 396 -16820 1389 -2077 1551
0 3328 924 -17628 -1261 742 1255
0 3420 1224 -17552 1736 -231 -900
0 3920 1124 -16740 -442 572 273
0 3108 292 -17400 1961 343 -2122
0 3636 244 -17228 466 750 -1490
0 4212 544 -17640 1385 -431 -383
0 2132 -280 -18412 3349 -1077 246
1 3768 -400 -16488 3696 -731 2187
1 2928 -1728 -17992 8517 327 -2898
